epoch,categorical_accuracy,loss,lr,precision,recall
0,0.0138248847797513,8.633763313293457,1e-04,0.0,0.0
1,0.007680491544306278,8.618539810180664,1e-04,0.0,0.0
2,0.011520737782120705,8.55532455444336,1e-04,0.0,0.0
3,0.01075268816202879,8.573524475097656,1e-04,0.1428571492433548,0.0007680491544306278
4,0.008448541164398193,8.544052124023438,1e-04,0.0,0.0
5,0.011520737782120705,8.531566619873047,1e-04,0.0,0.0
6,0.008448541164398193,8.548654556274414,1e-04,0.0,0.0
7,0.004608294926583767,8.545982360839844,1e-04,0.0,0.0
8,0.0138248847797513,8.512297630310059,1e-04,0.0,0.0
9,0.01305683609098196,8.44509220123291,1e-04,0.0,0.0
